1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
1	1	10	0	0	0	0	0	1	0	1	0	0	0	0
2	3	2	0	0	0	0	0	0	0	0	0	0	0	0
3	4	3	0	0	0	0	0	0	0	0	0	0	0	0
4	5	4	0	0	0	0	0	0	0	0	0	0	0	0
5	6	5	0	0	0	0	0	0	0	0	0	0	0	0
6	7	6	0	0	0	0	0	0	0	0	0	0	0	0
7	8	7	0	0	0	0	0	0	0	0	0	0	0	0
8	9	8	0	0	0	0	0	0	0	0	0	0	0	0
8	18	9	0	10	0	10	0	0	0	0	0	0	0	0
9	10	19	0	0	0	0	0	1	0	1	0	0	0	0
16	27	18	0	10	0	10	0	0	0	0	0	0	0	0
17	19	28	0	0	0	0	0	1	0	1	0	0	0	0
20	31	32	0	0	0	0	0	0	0	0	0	0	0	0
21	32	33	0	0	0	0	0	0	0	0	0	0	0	0
24	36	27	0	10	0	10	0	0	0	0	0	0	0	0
25	28	37	0	0	0	0	0	1	1	1	0	0	0	0
27	40	31	0	0	0	0	0	0	0	0	0	0	0	0
28	33	41	0	0	0	0	0	0	0	0	0	0	0	0
30	44	36	0	10	0	10	0	0	0	0	0	0	0	0
31	37	45	0	0	0	0	1	1	0	1	0	0	0	0
33	48	40	0	0	0	0	0	0	0	0	0	0	0	0
34	41	50	0	0	0	0	0	0	0	0	0	0	0	0
36	53	44	0	10	0	10	0	0	0	0	0	0	0	0
37	45	54	0	0	0	0	0	1	0	1	0	0	0	0
40	49	48	0	0	0	0	0	0	0	0	0	0	0	0
41	50	49	0	0	0	0	0	0	0	0	0	0	0	0
44	62	53	0	10	0	10	0	0	0	0	0	0	0	0
45	54	63	0	0	0	0	0	1	0	1	0	0	0	0
52	71	62	0	10	0	10	0	0	0	0	0	0	0	0
53	72	73	0	0	0	0	0	0	0	0	0	0	0	0
53	63	72	0	0	0	0	0	1	0	1	0	0	0	0
54	73	74	0	0	0	0	0	0	0	0	0	0	0	0
55	74	75	0	0	0	0	0	0	0	0	0	0	0	0
56	75	76	0	0	0	0	0	0	0	0	0	0	0	0
57	76	77	0	0	0	0	0	0	0	0	0	0	0	0
58	77	78	0	0	0	0	0	0	0	0	0	0	0	0
59	78	79	0	0	0	0	0	0	0	0	0	0	0	0
60	79	80	0	0	0	0	0	0	0	0	0	0	0	0
60	80	71	0	10	0	10	0	0	0	0	0	0	0	0
